Date,Aktual_Test,Prediksi_ARIMA,Batas_Bawah_95%,Batas_Atas_95%
2025-05-06,8589.7060546875,9285.480423986533,7647.896747938003,10923.064100035064
2025-05-07,8637.294921875,9285.480423986533,7640.214051795053,10930.746796178013
2025-05-08,8542.1171875,9285.480423986533,7632.567064228192,10938.393783744876
2025-05-09,8565.912109375,9285.480423986533,7624.9552919059915,10946.005556067075
2025-05-14,8827.6484375,9285.480423986533,7617.37825275283,10953.582595220236
2025-05-15,8827.6484375,9285.480423986533,7609.835475592606,10961.125372380462
2025-05-16,8851.44140625,9285.480423986533,7602.326499806816,10968.634348166252
2025-05-19,9041.794921875,9285.480423986533,7594.850875006309,10976.109972966759
2025-05-20,9018.001953125,9285.480423986533,7587.4081607160415,10983.552687257024
2025-05-21,9232.1494140625,9285.480423986533,7579.997926072215,10990.962921900853
2025-05-22,9184.5615234375,9285.480423986533,7572.619749531206,10998.34109844186
2025-05-23,9208.35546875,9285.480423986533,7565.2732185897385,11005.687629383328
2025-05-26,9160.7666015625,9285.480423986533,7557.957929515755,11013.002918457312
2025-05-27,8994.2080078125,9285.480423986533,7550.673487089509,11020.287360883558
2025-05-28,8946.619140625,9285.480423986533,7543.419504354407,11027.54134361866
2025-06-02,8661.087890625,9285.480423986533,7536.1956023771345,11034.765245595932
2025-06-03,8613.5009765625,9285.480423986533,7529.001410016677,11041.95943795639
2025-06-04,8542.1171875,9285.480423986533,7521.836563701807,11049.12428427126
2025-06-05,8494.529296875,9285.480423986533,7514.700707216685,11056.260140756382
2025-06-10,8661.087890625,9285.480423986533,7507.5934914942,11063.367356478866
2025-06-11,8613.5009765625,9285.480423986533,7500.5145744167185,11070.446273556348
2025-06-12,8684.8828125,9285.480423986533,7493.463620623912,11077.497227349155
2025-06-13,8589.7060546875,9285.480423986533,7486.440301327375,11084.520546645692
2025-06-16,8494.529296875,9285.480423986533,7479.444294131714,11091.516553841353
2025-06-17,8637.294921875,9285.480423986533,7472.475282861868,11098.4855651112
2025-06-18,8470.734375,9285.480423986533,7465.532957396368,11105.427890576699
2025-06-19,8351.763671875,9285.480423986533,7458.617013506304,11112.343834466763
2025-06-20,8280.380859375,9285.480423986533,7451.727152699759,11119.233695273308
2025-06-23,8208.9990234375,9285.480423986533,7444.863082071479,11126.097765901588
2025-06-24,8351.763671875,9285.480423986533,7438.024514157578,11132.936333815489
2025-06-25,8185.20458984375,9285.480423986533,7431.211166795058,11139.74968117801
2025-06-26,8232.79296875,9285.480423986533,7424.4227629859615,11146.538084987105
2025-06-30,8256.5869140625,9285.480423986533,7417.659030765968,11153.301817207099
2025-07-01,8280.380859375,9285.480423986533,7410.919703077257,11160.041144895811
2025-07-02,8256.5869140625,9285.480423986533,7404.204517645467,11166.7563303276
2025-07-03,8185.20458984375,9285.480423986533,7397.513216860601,11173.447631112467
2025-07-04,8232.79296875,9285.480423986533,7390.845547661707,11180.11530031136
2025-07-07,8208.9990234375,9285.480423986533,7384.201261425211,11186.759586547856
2025-07-08,8090.02734375,9285.480423986533,7377.580113856736,11193.38073411633
2025-07-09,8090.02734375,9285.480423986533,7370.9818648863,11199.978983086767
2025-07-10,8185.20458984375,9285.480423986533,7364.406278566747,11206.55456940632
2025-07-11,8208.9990234375,9285.480423986533,7357.853122975299,11213.107724997768
2025-07-14,8113.82177734375,9285.480423986533,7351.322170118109,11219.638677854957
2025-07-15,8137.6162109375,9285.480423986533,7344.813195837708,11226.147652135358
2025-07-16,8113.82177734375,9285.480423986533,7338.325979723229,11232.634868249837
2025-07-17,8113.82177734375,9285.480423986533,7331.860305023322,11239.100542949745
2025-07-18,8018.6455078125,9285.480423986533,7325.415958561653,11245.544889411414
2025-07-21,8042.43994140625,9285.480423986533,7318.992730654887,11251.96811731818
2025-07-22,7994.85107421875,9285.480423986533,7312.590415033092,11258.370432939975
2025-07-23,8018.6455078125,9285.480423986533,7306.208808762436,11264.75203921063
2025-07-24,8090.02734375,9285.480423986533,7299.847712170146,11271.11313580292
2025-07-25,8042.43994140625,9285.480423986533,7293.506928771601,11277.453919201465
2025-07-28,8090.02734375,9285.480423986533,7287.1862651995225,11283.774582773543
2025-07-29,7994.85107421875,9285.480423986533,7280.885531135167,11290.0753168379
2025-07-30,7971.05712890625,9285.480423986533,7274.604539241462,11296.356308731605
2025-07-31,7875.8798828125,9285.480423986533,7268.343105098013,11302.617742875052
2025-08-01,7899.673828125,9285.480423986533,7262.101047137925,11308.859800835142
2025-08-04,7875.8798828125,9285.480423986533,7255.878186586369,11315.082661386698
2025-08-05,8018.6455078125,9285.480423986533,7249.674347400836,11321.28650057223
2025-08-06,7899.673828125,9285.480423986533,7243.489356213037,11327.471491760029
2025-08-07,7899.673828125,9285.480423986533,7237.323042272366,11333.6378057007
2025-08-08,7899.673828125,9285.480423986533,7231.1752373908985,11339.785610582168
2025-08-11,8137.6162109375,9285.480423986533,7225.04577588987,11345.915072083197
2025-08-12,8423.1474609375,9285.480423986533,7218.934494547579,11352.026353425488
2025-08-13,8494.529296875,9285.480423986533,7212.841232548668,11358.119615424399
2025-08-14,8351.763671875,9285.480423986533,7206.7658314347555,11364.195016538311
2025-08-15,8280.380859375,9285.480423986533,7200.70813505635,11370.252712916717
2025-08-19,8090.02734375,9285.480423986533,7194.667989526022,11376.292858447045
2025-08-20,8113.82177734375,9285.480423986533,7188.645243172795,11382.315604800271
2025-08-21,8137.6162109375,9285.480423986533,7182.639746497704,11388.321101475362
2025-08-22,8042.43994140625,9285.480423986533,7176.651352130502,11394.309495842565
2025-08-25,8066.2333984375,9285.480423986533,7170.679914787459,11400.280933185608
2025-08-26,7852.08544921875,9285.480423986533,7164.725291230241,11406.235556742826
2025-08-27,7899.673828125,9285.480423986533,7158.78734022582,11412.173507747248
2025-08-28,7923.46826171875,9285.480423986533,7152.865922507388,11418.094925465679
2025-08-29,7685.5263671875,9285.480423986533,7146.960900736245,11423.999947236822
2025-09-01,7614.1435546875,9285.480423986533,7141.07213946464,11429.888708508428
2025-09-02,7614.1435546875,9285.480423986533,7135.199505099509,11435.761342873557
2025-09-03,7590.349609375,9285.480423986533,7129.342865867126,11441.617982105941
2025-09-04,7614.1435546875,9285.480423986533,7123.502091778597,11447.45875619447
2025-09-08,7328.61328125,9285.480423986533,7117.6770545961945,11453.283793376871
2025-09-09,7162.05419921875,9285.480423986533,7111.867627800515,11459.093220172552
2025-09-10,7423.7900390625,9285.480423986533,7106.073686558411,11464.887161414656
2025-09-11,7471.37890625,9285.480423986533,7100.2951076916925,11470.665740281374
2025-09-12,7542.76123046875,9285.480423986533,7094.531769646574,11476.429078326493
2025-09-15,7637.93798828125,9285.480423986533,7088.783552463843,11482.177295509224
2025-09-16,7542.76123046875,9285.480423986533,7083.050337749726,11487.91051022334
2025-09-17,7471.37890625,9285.480423986533,7077.332008647438,11493.628839325629
2025-09-18,7328.61328125,9285.480423986533,7071.6284498093855,11499.332398163682
2025-09-19,7423.7900390625,9285.480423986533,7065.9395473700315,11505.021300603035
2025-09-22,7352.40771484375,9285.480423986533,7060.265188919363,11510.695659053705
2025-09-23,7495.1728515625,9285.480423986533,7054.605263476978,11516.35558449609
2025-09-24,7399.99560546875,9285.480423986533,7048.959661466761,11522.001186506306
2025-09-25,7328.61328125,9285.480423986533,7043.328274692128,11527.632573280938
2025-09-26,7257.23095703125,9285.480423986533,7037.71099631184,11533.249851661227
2025-09-29,7399.99560546875,9285.480423986533,7032.107720816348,11538.853127156719
2025-09-30,7257.23095703125,9285.480423986533,7026.518344004667,11544.4425039684
2025-10-01,7138.259765625,9285.480423986533,7020.942762961772,11550.018085011296
2025-10-02,7138.259765625,9285.480423986533,7015.38087603649,11555.579971936577
2025-10-03,7162.05419921875,9285.480423986533,7009.832582819872,11561.128265153195
2025-10-06,7138.259765625,9285.480423986533,7004.297784124048,11566.663063849019
2025-10-07,7209.64208984375,9285.480423986533,6998.776381961534,11572.184466011533
2025-10-08,7019.28857421875,9285.480423986533,6993.268279524995,11577.692568448072
2025-10-09,7185.8486328125,9285.480423986533,6987.773381167441,11583.187466805626
2025-10-10,7043.0830078125,9285.480423986533,6982.291592382848,11588.66925559022
2025-10-13,6971.70068359375,9285.480423986533,6976.822819787191,11594.138028185876
2025-10-14,6900.31787109375,9285.480423986533,6971.366971099891,11599.593876873176
2025-10-15,6900.31787109375,9285.480423986533,6965.923955125636,11605.03689284743
2025-10-16,6947.90625,9285.480423986533,6960.493681736607,11610.46716623646
2025-10-17,7138.259765625,9285.480423986533,6955.076061855056,11615.884786118011
2025-10-20,7495.1728515625,9285.480423986533,6949.671007436264,11621.289840536803
2025-10-21,8066.2333984375,9285.480423986533,6944.278431451843,11626.682416521224
2025-10-22,7804.4970703125,9285.480423986533,6938.898247873389,11632.062600099678
2025-10-23,7923.46826171875,9285.480423986533,6933.530371656469,11637.430476316598
2025-10-24,7875.8798828125,9285.480423986533,6928.174718724934,11642.786129248132
2025-10-27,7947.2626953125,9285.480423986533,6922.831205955557,11648.12964201751
2025-10-28,7875.8798828125,9285.480423986533,6917.499751162983,11653.461096810084
2025-10-29,8185.20458984375,9285.480423986533,6912.180273084973,11658.780574888093
2025-10-30,8113.82177734375,9285.480423986533,6906.872691367962,11664.088156605105
2025-10-31,8113.82177734375,9285.480423986533,6901.576926552891,11669.383921420176
2025-11-03,8232.79296875,9285.480423986533,6896.292900061329,11674.667947911737
2025-11-04,8232.79296875,9285.480423986533,6891.020534181874,11679.940313791194
2025-11-05,8280.380859375,9285.480423986533,6885.7597520568115,11685.201095916254
2025-11-06,8137.6162109375,9285.480423986533,6880.510477669048,11690.450370304019
2025-11-07,8256.5869140625,9285.480423986533,6875.272635829291,11695.688212143776
2025-11-10,8161.41064453125,9285.480423986533,6870.04615216349,11700.914695809577
2025-11-11,7994.85107421875,9285.480423986533,6864.830953100505,11706.129894872562
2025-11-12,8090.02734375,9285.480423986533,6859.626965860032,11711.333882113035
2025-11-13,7971.05712890625,9285.480423986533,6854.434118440751,11716.526729532316
2025-11-14,8018.6455078125,9285.480423986533,6849.2523396087,11721.708508364367
2025-11-17,8161.41064453125,9285.480423986533,6844.081558885875,11726.879289087192
2025-11-18,7994.85107421875,9285.480423986533,6838.921706539049,11732.039141434017
2025-11-19,8066.2333984375,9285.480423986533,6833.772713568798,11737.188134404269
2025-11-20,8018.6455078125,9285.480423986533,6828.634511698735,11742.326336274331
2025-11-21,7994.85107421875,9285.480423986533,6823.5070333649455,11747.453814608121
2025-11-24,8066.2333984375,9285.480423986533,6818.390211705626,11752.570636267441
2025-11-25,8090.02734375,9285.480423986533,6813.28398055091,11757.676867422157
2025-11-26,8018.6455078125,9285.480423986533,6808.1882744128825,11762.772573560185
2025-11-27,7923.46826171875,9285.480423986533,6803.1030284757835,11767.857819497283
