Date,Open,High,Low,Close,Volume,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,MA_5,MA_20
2023-11-22,7843.224481459067,7932.60595703125,7843.224481459067,7932.60595703125,40364800,7843.224609375,7932.60595703125,8111.36865234375,8111.36865234375,8089.02392578125,7986.234765625,7943.778881835938
2023-11-23,7910.261735162815,8021.988595828957,7910.261735162815,7977.2978515625,55542100,7932.60595703125,7843.224609375,7932.60595703125,8111.36865234375,8111.36865234375,7959.42060546875,7952.717065429688
2023-11-24,7977.2978515625,8021.988595828957,7954.952479429272,7977.2978515625,43631900,7977.2978515625,7932.60595703125,7843.224609375,7932.60595703125,8111.36865234375,7932.6064453125,7962.77255859375
2023-11-27,7954.951325924296,7999.642063710387,7932.60595703125,7932.60595703125,35679000,7977.2978515625,7977.2978515625,7932.60595703125,7843.224609375,7932.60595703125,7932.6064453125,7963.889819335937
2023-11-28,7932.60595703125,7999.642063710387,7910.260588138204,7932.60595703125,69070600,7932.60595703125,7977.2978515625,7977.2978515625,7932.60595703125,7843.224609375,7950.48271484375,7969.476147460938
2023-11-29,7954.951171875,7999.6419087956465,7954.951171875,7954.951171875,54715600,7932.60595703125,7932.60595703125,7977.2978515625,7977.2978515625,7932.60595703125,7954.9517578125,7982.883349609375
2023-11-30,7977.298509858113,8021.9892578125,7954.95313588092,8021.9892578125,205312100,7954.951171875,7932.60595703125,7932.60595703125,7977.2978515625,7977.2978515625,7963.8900390625,7988.469775390625
2023-12-01,7977.29623396037,8021.986969164629,7954.95086635824,7999.6416015625,80566400,8021.9892578125,7954.951171875,7932.60595703125,7932.60595703125,7977.2978515625,7968.3587890625,7990.704296875
2023-12-04,8037.810382746848,8105.166335674894,8015.358398437499,8015.3583984375,54747400,7999.6416015625,8021.9892578125,7954.951171875,7932.60595703125,7932.60595703125,7984.90927734375,7987.021020507813
2023-12-05,8037.809235647823,8037.809235647823,7925.549330122016,7992.9052734375,94363900,8015.3583984375,7999.6416015625,8021.9892578125,7954.951171875,7932.60595703125,7996.969140625,7985.566821289062
2023-12-06,7948.002602317116,8037.810541326349,7903.0986328125,7903.0986328125,81852800,7992.9052734375,8015.3583984375,7999.6416015625,8021.9892578125,7954.951171875,7986.5986328125,7978.505102539062
2023-12-07,7858.194825601983,7925.55078125,7835.742840385978,7925.55078125,91322500,7903.0986328125,7992.9052734375,8015.3583984375,7999.6416015625,8021.9892578125,7967.3109375,7972.565991210938
2023-12-08,7903.0978125,7948.00177734375,7858.19384765625,7858.19384765625,43891600,7925.55078125,7903.0986328125,7992.9052734375,8015.3583984375,7999.6416015625,7939.02138671875,7971.079907226563
2023-12-11,7790.837900390625,7880.645830078125,7790.837900390625,7858.19384765625,78642800,7858.19384765625,7925.55078125,7903.0986328125,7992.9052734375,8015.3583984375,7907.5884765625,7967.359301757812
2023-12-12,7813.2900390625,7858.194004804239,7813.2900390625,7813.2900390625,87589300,7858.19384765625,7858.19384765625,7925.55078125,7903.0986328125,7992.9052734375,7871.6654296875,7959.158911132812
2023-12-13,7813.289873018733,7858.193837806196,7790.837890625,7790.837890625,51560500,7813.2900390625,7858.19384765625,7858.19384765625,7925.55078125,7903.0986328125,7849.21328125,7944.249609375
2023-12-14,7880.646814841592,8127.61865234375,7858.194829614124,8127.61865234375,115332800,7790.837890625,7813.2900390625,7858.19384765625,7858.19384765625,7925.55078125,7889.62685546875,7945.062109375
2023-12-15,8194.974289147189,8284.7822265625,8150.070320439533,8284.7822265625,275013500,8127.61865234375,7790.837890625,7813.2900390625,7858.19384765625,7858.19384765625,7974.94453125,7953.7327880859375
2023-12-18,8262.3291015625,8284.781082816746,8217.425139054008,8262.3291015625,111712200,8284.7822265625,8127.61865234375,7790.837890625,7813.2900390625,7858.19384765625,8055.77158203125,7970.2189453125
2023-12-19,8194.973487647805,8307.2333984375,8194.973487647805,8307.2333984375,65174500,8262.3291015625,8284.7822265625,8127.61865234375,7790.837890625,7813.2900390625,8154.56025390625,7993.419384765625
2023-12-20,8307.234700520834,8352.138671875,8284.78271484375,8352.138671875,72938100,8307.2333984375,8262.3291015625,8284.7822265625,8127.61865234375,7790.837890625,8266.82041015625,8014.396020507813
2023-12-21,8352.136886310322,8374.5888671875,8307.232924555965,8374.5888671875,88116700,8352.138671875,8307.2333984375,8262.3291015625,8284.7822265625,8127.61865234375,8316.214453125,8034.260571289063
2023-12-22,8329.684905433143,8397.040848064678,8329.684905433143,8374.5888671875,64449600,8374.5888671875,8352.138671875,8307.2333984375,8262.3291015625,8284.7822265625,8334.17578125,8054.125122070312
2023-12-27,8419.4931640625,8441.945145833333,8374.589200520833,8419.4931640625,64464700,8374.5888671875,8374.5888671875,8352.138671875,8307.2333984375,8262.3291015625,8365.60859375,8078.469482421875
2023-12-28,8374.59033462849,8464.398273873836,8374.59033462849,8441.9462890625,70184600,8419.4931640625,8374.5888671875,8374.5888671875,8352.138671875,8307.2333984375,8392.551171875,8103.936499023437
2023-12-29,8464.398273873836,8486.850258685174,8397.042319439828,8441.9462890625,79903400,8441.9462890625,8419.4931640625,8374.5888671875,8374.5888671875,8352.138671875,8410.5126953125,8128.2862548828125
2024-01-02,8441.946452254642,8464.3984375,8397.042481763927,8464.3984375,30545200,8441.9462890625,8441.9462890625,8419.4931640625,8374.5888671875,8374.5888671875,8428.474609375,8150.406713867187
2024-01-03,8464.397943996491,8464.397943996491,8374.590008251169,8397.0419921875,34603300,8464.3984375,8441.9462890625,8441.9462890625,8419.4931640625,8374.5888671875,8432.965234375,8170.276733398437
2024-01-04,8441.946776055409,8509.302734375,8419.494789948878,8509.302734375,56501800,8397.0419921875,8464.3984375,8441.9462890625,8441.9462890625,8419.4931640625,8450.9271484375,8194.973950195312
2024-01-05,8531.75342689295,8621.56135770235,8509.301444190602,8599.109375,85290100,8509.302734375,8397.0419921875,8464.3984375,8441.9462890625,8441.9462890625,8482.359765625,8225.284155273437
2024-01-08,8621.56135770235,8644.013340404701,8509.301444190602,8599.109375,50896000,8599.109375,8509.302734375,8397.0419921875,8464.3984375,8441.9462890625,8513.7923828125,8260.084692382812
2024-01-09,8621.561688311689,8644.013671875,8599.109704748376,8644.013671875,59848600,8599.109375,8599.109375,8509.302734375,8397.0419921875,8464.3984375,8549.7154296875,8296.007836914063
2024-01-10,8666.465155636452,8666.465155636452,8576.6572265625,8576.6572265625,52774900,8644.013671875,8599.109375,8599.109375,8509.302734375,8397.0419921875,8585.6384765625,8331.931005859375
2024-01-11,8644.013340404701,8666.46532310705,8599.109375,8599.109375,39381500,8576.6572265625,8644.013671875,8599.109375,8599.109375,8509.302734375,8603.5998046875,8368.976782226562
2024-01-12,8666.466147511275,8711.3701171875,8621.56217783505,8711.3701171875,68253400,8599.109375,8576.6572265625,8644.013671875,8599.109375,8599.109375,8626.051953125,8413.880786132813
2024-01-15,8756.273271810733,8756.273271810733,8666.465340817802,8733.8212890625,88399500,8711.3701171875,8599.109375,8576.6572265625,8644.013671875,8599.109375,8652.9943359375,8461.029956054688
2024-01-16,8711.3701171875,8756.274086863725,8688.918132349389,8711.3701171875,44869200,8733.8212890625,8711.3701171875,8599.109375,8576.6572265625,8644.013671875,8666.465625,8490.217529296875
2024-01-17,8756.2734375,8756.2734375,8666.465504807693,8756.2734375,107706100,8711.3701171875,8733.8212890625,8711.3701171875,8599.109375,8576.6572265625,8702.3888671875,8513.79208984375
2024-01-18,8688.9169921875,8756.272937863372,8644.013028403586,8688.9169921875,71048900,8756.2734375,8711.3701171875,8733.8212890625,8711.3701171875,8599.109375,8720.350390625,8535.121484375
2024-01-19,8778.725573254871,8778.725573254871,8621.561688311689,8644.013671875,63176500,8688.9169921875,8756.2734375,8711.3701171875,8733.8212890625,8711.3701171875,8706.8791015625,8551.960498046876
2024-01-22,8621.561688311689,8666.465655438313,8554.205737621754,8644.013671875,52868300,8644.013671875,8688.9169921875,8756.2734375,8711.3701171875,8733.8212890625,8688.917578125,8566.554248046876
2024-01-23,8486.8505859375,8621.5625,8486.8505859375,8621.5625,92348600,8644.013671875,8644.013671875,8688.9169921875,8756.2734375,8711.3701171875,8670.9560546875,8578.9029296875
2024-01-24,8621.562007874016,8621.562007874016,8509.30208589649,8554.2060546875,84906000,8621.5625,8644.013671875,8644.013671875,8688.9169921875,8756.2734375,8630.542578125,8587.8837890625
2024-01-25,8486.848966899672,8599.108873869243,8486.848966899672,8531.7529296875,63212700,8554.2060546875,8621.5625,8644.013671875,8644.013671875,8688.9169921875,8599.109765625,8593.49677734375
2024-01-26,8441.94596006016,8486.84992793282,8352.13802431484,8397.0419921875,78977300,8531.7529296875,8554.2060546875,8621.5625,8644.013671875,8644.013671875,8549.7154296875,8591.2515625
2024-01-29,8441.94533295157,8576.6572265625,8419.493350683082,8576.6572265625,73452800,8397.0419921875,8531.7529296875,8554.2060546875,8621.5625,8644.013671875,8536.244140625,8597.987109375
2024-01-30,8531.75487775259,8666.466796875,8509.30289123219,8666.466796875,73136400,8576.6572265625,8397.0419921875,8531.7529296875,8554.2060546875,8621.5625,8545.225,8608.09052734375
2024-01-31,8711.36912017343,8711.36912017343,8576.6572265625,8576.6572265625,102581200,8666.466796875,8576.6572265625,8397.0419921875,8531.7529296875,8554.2060546875,8549.715234375,8617.0712890625
2024-02-01,8666.466147511275,8733.822102025611,8599.110192996939,8711.3701171875,104208700,8576.6572265625,8666.466796875,8576.6572265625,8397.0419921875,8531.7529296875,8585.638671875,8627.174658203125
2024-02-02,8778.726071701836,8801.178056539948,8644.014162673164,8711.3701171875,99324000,8711.3701171875,8576.6572265625,8666.466796875,8576.6572265625,8397.0419921875,8648.504296875,8632.7876953125
2024-02-05,8688.9173058094,8688.9173058094,8554.2054095953,8599.109375,57983300,8711.3701171875,8711.3701171875,8576.6572265625,8666.466796875,8576.6572265625,8652.9947265625,8632.7876953125
2024-02-06,8756.273589691558,8756.273589691558,8644.013671875,8644.013671875,87651000,8599.109375,8711.3701171875,8711.3701171875,8576.6572265625,8666.466796875,8648.5041015625,8632.7876953125
2024-02-07,8711.3701171875,8733.822102025611,8666.466147511275,8711.3701171875,92953500,8644.013671875,8599.109375,8711.3701171875,8711.3701171875,8576.6572265625,8675.4466796875,8639.52333984375
2024-02-12,8756.272794762437,8801.1767578125,8711.368831712372,8801.1767578125,87949400,8711.3701171875,8644.013671875,8599.109375,8711.3701171875,8711.3701171875,8693.4080078125,8649.626708984375
2024-02-13,8756.273271810733,8801.177237307198,8711.369306314267,8733.8212890625,66072400,8801.1767578125,8711.3701171875,8644.013671875,8599.109375,8711.3701171875,8697.8982421875,8650.749267578125
2024-02-15,8935.889970653552,8958.34195550444,8846.08203125,8846.08203125,164748900,8733.8212890625,8801.1767578125,8711.3701171875,8644.013671875,8599.109375,8747.2927734375,8656.3623046875
2024-02-16,8958.341632478801,8980.7936165201,8868.5336963136,8935.8896484375,142277200,8846.08203125,8733.8212890625,8801.1767578125,8711.3701171875,8644.013671875,8805.66796875,8667.58828125
2024-02-19,8890.986164952532,8958.342120747628,8823.630209157436,8868.5341796875,53341300,8935.8896484375,8846.08203125,8733.8212890625,8801.1767578125,8711.3701171875,8837.10078125,8673.201318359375
2024-02-20,8846.081237336346,9003.2451171875,8846.081237336346,9003.2451171875,63997700,8868.5341796875,8935.8896484375,8846.08203125,8733.8212890625,8801.1767578125,8877.514453125,8688.917724609375
2024-02-21,8935.88981242168,8980.79378132832,8846.081874608397,8958.341796875,75371600,9003.2451171875,8868.5341796875,8935.8896484375,8846.08203125,8733.8212890625,8922.4185546875,8704.634130859375
2024-02-22,8958.342120747628,8958.342120747628,8868.5341796875,8868.5341796875,66913000,8958.341796875,9003.2451171875,8868.5341796875,8935.8896484375,8846.08203125,8926.908984375,8715.86015625
2024-02-23,8890.985836116412,8913.43782055105,8801.177898377862,8823.6298828125,55192300,8868.5341796875,8958.341796875,9003.2451171875,8868.5341796875,8935.8896484375,8904.45703125,8725.963525390625
2024-02-26,8756.272794762437,8868.532702387596,8733.820813237404,8801.1767578125,41356000,8823.6298828125,8868.5341796875,8958.341796875,9003.2451171875,8868.5341796875,8890.985546875,8738.312060546876
2024-02-27,8756.274253362342,8890.986164952532,8756.274253362342,8868.5341796875,43735800,8801.1767578125,8823.6298828125,8868.5341796875,8958.341796875,9003.2451171875,8864.043359375,8755.151123046875
2024-02-28,8958.34196044922,8980.7939453125,8890.986005859375,8980.7939453125,54043100,8868.5341796875,8801.1767578125,8823.6298828125,8868.5341796875,8958.341796875,8868.5337890625,8784.338720703125
2024-02-29,8980.794106012658,8980.794106012658,8846.082194422468,8868.5341796875,126671200,8980.7939453125,8868.5341796875,8801.1767578125,8823.6298828125,8868.5341796875,8868.5337890625,8798.932568359374
2024-03-01,8890.985836116412,8913.43782055105,8801.177898377862,8823.6298828125,51520600,8868.5341796875,8980.7939453125,8868.5341796875,8801.1767578125,8823.6298828125,8868.5337890625,8806.79072265625
2024-03-04,8801.177403846154,8823.629387019231,8756.2734375,8756.2734375,43822900,8823.6298828125,8868.5341796875,8980.7939453125,8868.5341796875,8801.1767578125,8859.553125,8815.771533203126
2024-03-05,8890.984683912628,8890.984683912628,8778.724776287469,8801.1767578125,61952900,8756.2734375,8823.6298828125,8868.5341796875,8980.7939453125,8868.5341796875,8846.081640625,8820.261865234375
2024-03-06,8890.9856803549,8980.7936165201,8778.725760148398,8935.8896484375,70242200,8801.1767578125,8756.2734375,8823.6298828125,8868.5341796875,8980.7939453125,8837.10078125,8831.487841796876
2024-03-07,9025.697757523149,9137.9576798804,8980.793788580248,9093.0537109375,118369300,8935.8896484375,8801.1767578125,8756.2734375,8823.6298828125,8868.5341796875,8882.0046875,8856.18505859375
2024-03-08,9205.312812692426,9250.21677763239,9093.052900342518,9115.5048828125,100947200,9093.0537109375,8935.8896484375,8801.1767578125,8756.2734375,8823.6298828125,8940.3796875,8879.759619140625
2024-03-13,9340.025703125,9340.025703125,8980.7939453125,8980.7939453125,141622600,9115.5048828125,9093.0537109375,8935.8896484375,8801.1767578125,8756.2734375,8985.2837890625,8893.230810546875
2024-03-14,9025.698083762109,9272.669921875,9003.246098479116,9272.669921875,110681100,8980.7939453125,9115.5048828125,9093.0537109375,8935.8896484375,8801.1767578125,9079.582421875,8916.80546875
2024-03-15,9160.408847752464,9250.21677763239,9025.696952932574,9115.5048828125,154176800,9272.669921875,8980.7939453125,9115.5048828125,9093.0537109375,8935.8896484375,9115.50546875,8935.8896484375
2024-03-18,9137.956865282482,9227.764795162408,9115.5048828125,9115.5048828125,62444100,9115.5048828125,9272.669921875,8980.7939453125,9115.5048828125,9093.0537109375,9119.995703125,8949.360791015624
2024-03-19,9115.505048372235,9205.312979883292,9115.505048372235,9137.95703125,55004800,9115.5048828125,9115.5048828125,9272.669921875,8980.7939453125,9115.5048828125,9124.4861328125,8959.46416015625
2024-03-20,9070.60172646605,9115.50569540895,9048.1497419946,9093.0537109375,66269700,9137.95703125,9115.5048828125,9115.5048828125,9272.669921875,8980.7939453125,9146.9380859375,8970.69013671875
2024-03-21,9137.9576798804,9182.861648823302,9025.697757523149,9093.0537109375,90279400,9093.0537109375,9137.95703125,9115.5048828125,9115.5048828125,9272.669921875,9111.01484375,8975.18056640625
2024-03-22,8980.794593131188,9093.054525545327,8935.890620165532,9070.6025390625,91968200,9093.0537109375,9093.0537109375,9137.95703125,9115.5048828125,9115.5048828125,9102.034375,8980.793603515625
2024-03-25,9256.6533203125,9256.6533203125,9118.83714184631,9256.6533203125,66971000,9070.6025390625,9093.0537109375,9093.0537109375,9137.95703125,9115.5048828125,9130.2640625,9000.199560546875
2024-03-26,9233.6845703125,9233.6845703125,9141.807111901431,9233.6845703125,65742700,9256.6533203125,9070.6025390625,9093.0537109375,9093.0537109375,9137.95703125,9149.4095703125,9020.702294921875
2024-03-27,9210.714594157103,9256.6533203125,9187.745231079403,9256.6533203125,39514100,9233.6845703125,9256.6533203125,9070.6025390625,9093.0537109375,9093.0537109375,9182.1294921875,9043.476123046876
2024-03-28,9210.714594157103,9279.622683390198,9164.775868001709,9256.6533203125,79229700,9256.6533203125,9233.6845703125,9256.6533203125,9070.6025390625,9093.0537109375,9214.8494140625,9062.882080078123
2024-04-01,9256.653969701776,9279.623334390864,9026.960322810914,9049.9296875,79248700,9256.6533203125,9256.6533203125,9233.6845703125,9256.6533203125,9070.6025390625,9210.71484375,9066.3388671875
2024-04-02,9118.837528113165,9141.806892163826,9003.990707859848,9095.8681640625,76763100,9049.9296875,9256.6533203125,9256.6533203125,9233.6845703125,9256.6533203125,9178.5578125,9077.70556640625
2024-04-03,8958.052411417322,9003.991141732284,8751.328125,8751.328125,177418400,9095.8681640625,9049.9296875,9256.6533203125,9256.6533203125,9233.6845703125,9082.0865234375,9074.090478515624
2024-04-04,8797.266675920051,9049.9296875,8797.266675920051,9049.9296875,75993500,8751.328125,9095.8681640625,9049.9296875,9256.6533203125,9256.6533203125,9040.741796875,9088.773291015625
2024-04-05,9141.807768765904,9141.807768765904,9026.9609375,9026.9609375,70428600,9049.9296875,8751.328125,9095.8681640625,9049.9296875,9256.6533203125,8994.8033203125,9100.0625
2024-04-16,8590.54281930244,8797.267111745547,8498.665355994393,8705.3896484375,283265900,9026.9609375,9049.9296875,8751.328125,9095.8681640625,9049.9296875,8925.8953125,9088.5375
2024-04-17,8774.29749015748,8889.144315944883,8751.328125,8751.328125,95620700,8705.3896484375,9026.9609375,9049.9296875,8751.328125,9095.8681640625,8856.9873046875,9071.451220703126
2024-04-18,8751.328380091523,8797.267111745547,8682.420282610488,8705.3896484375,127134000,8751.328125,8705.3896484375,9026.9609375,9049.9296875,8751.328125,8847.799609375,9050.945458984375
2024-04-19,8590.54281930244,8728.359014264512,8544.604087648417,8705.3896484375,147784300,8705.3896484375,8751.328125,8705.3896484375,9026.9609375,9049.9296875,8778.8916015625,9037.175244140624
2024-04-22,8636.48071941845,8659.450083033924,8590.5419921875,8590.5419921875,128908000,8705.3896484375,8705.3896484375,8751.328125,8705.3896484375,9026.9609375,8691.6078125,9003.06884765625
2024-04-23,8636.480318123393,8981.020756346401,8636.480318123393,8935.08203125,178833000,8590.5419921875,8705.3896484375,8705.3896484375,8751.328125,8705.3896484375,8737.5462890625,8994.047705078125
2024-04-24,9026.95982353172,9141.806640625,8958.051733275754,9141.806640625,132832700,8935.08203125,8590.5419921875,8705.3896484375,8705.3896484375,8751.328125,8815.6419921875,8995.36279296875
2024-04-25,9187.745764066496,9187.745764066496,8912.113391144501,8981.021484375,104874100,9141.806640625,8935.08203125,8590.5419921875,8705.3896484375,8705.3896484375,8870.768359375,8987.516015625
2024-04-26,8912.113169642857,9026.959988839286,8843.205078125,8843.205078125,100932900,8981.021484375,9141.806640625,8935.08203125,8590.5419921875,8705.3896484375,8898.3314453125,8975.023583984375
2024-04-29,8751.327243104273,9049.928960060586,8751.327243104273,9003.990234375,90063500,8843.205078125,8981.021484375,9141.806640625,8935.08203125,8590.5419921875,8981.02109375,8970.57041015625
2024-04-30,9233.683862802933,9233.683862802933,9003.990234375,9003.990234375,109623000,9003.990234375,8843.205078125,8981.021484375,9141.806640625,8935.08203125,8994.802734375,8967.239794921876
2024-05-02,9095.866952306937,9095.866952306937,8728.357176456151,8774.2958984375,97079400,9003.990234375,9003.990234375,8843.205078125,8981.021484375,9141.806640625,8921.3005859375,8943.121923828125
2024-05-03,8958.052228743654,9049.9296875,8889.144134676395,9049.9296875,81200400,8774.2958984375,9003.990234375,9003.990234375,8843.205078125,8981.021484375,8935.0822265625,8933.9341796875
2024-05-06,9049.928960060586,9072.89832290338,8981.020871532206,9003.990234375,53076200,9049.9296875,8774.2958984375,9003.990234375,9003.990234375,8843.205078125,8967.2392578125,8921.301025390625
2024-05-07,8912.11328125,8958.052009503866,8843.2051888692,8912.11328125,66746800,9003.990234375,9049.9296875,8774.2958984375,9003.990234375,9003.990234375,8948.8638671875,8904.0740234375
2024-05-08,8820.235999999999,8912.113458333333,8613.51171875,8613.51171875,112808900,8912.11328125,9003.990234375,9049.9296875,8774.2958984375,9003.990234375,8870.7681640625,8882.253125
2024-05-13,8452.726377952757,8751.328125,8452.726377952757,8751.328125,145469900,8613.51171875,8912.11328125,9003.990234375,9049.9296875,8774.2958984375,8866.174609375,8865.026123046875
2024-05-14,8843.203981409522,8889.142703390871,8751.326537446826,8774.2958984375,95363500,8751.328125,8613.51171875,8912.11328125,9003.990234375,9049.9296875,8811.0478515625,8866.17451171875
2024-05-15,8728.3583984375,8820.235855263158,8659.450305818256,8728.3583984375,54741900,8774.2958984375,8751.328125,8613.51171875,8912.11328125,9003.990234375,8755.921484375,8850.095947265625
2024-05-16,8797.266962687174,8889.144424438477,8751.328231811523,8820.236328125,61126000,8728.3583984375,8774.2958984375,8751.328125,8613.51171875,8912.11328125,8737.54609375,8839.759716796874
2024-05-17,8820.236538461539,9049.930198317308,8797.267172475962,8958.052734375,99848500,8820.236328125,8728.3583984375,8774.2958984375,8751.328125,8613.51171875,8806.454296875,8852.39287109375
2024-05-20,8912.113940880607,9003.991404188655,8705.3896484375,8705.3896484375,87890100,8958.052734375,8820.236328125,8728.3583984375,8774.2958984375,8751.328125,8797.2666015625,8850.095947265625
2024-05-21,8682.4198125,8797.266635416667,8613.51171875,8613.51171875,75311400,8705.3896484375,8958.052734375,8820.236328125,8728.3583984375,8774.2958984375,8765.109765625,8845.50205078125
2024-05-22,8705.389904882295,8797.267370896883,8567.573705860412,8659.451171875,121712700,8613.51171875,8705.3896484375,8958.052734375,8820.236328125,8728.3583984375,8751.3283203125,8843.205126953126
2024-05-27,8544.603515625,8613.511608492943,8521.634151335686,8544.603515625,128578500,8659.451171875,8613.51171875,8705.3896484375,8958.052734375,8820.236328125,8696.2017578125,8840.908203125
