Tanggal,Harga_Aktual,Prediksi_LSTM
2025-07-09,8090.02734375,8241.754
2025-07-10,8185.20458984375,8209.401
2025-07-11,8208.9990234375,8197.114
2025-07-14,8113.82177734375,8201.017
2025-07-15,8137.6162109375,8194.822
2025-07-16,8113.82177734375,8189.2617
2025-07-17,8113.82177734375,8180.6064
2025-07-18,8018.6455078125,8171.963
2025-07-21,8042.43994140625,8147.462
2025-07-22,7994.85107421875,8123.9067
2025-07-23,8018.6455078125,8096.215
2025-07-24,8090.02734375,8075.765
2025-07-25,8042.43994140625,8075.5093
2025-07-28,8090.02734375,8076.544
2025-07-29,7994.85107421875,8086.901
2025-07-30,7971.05712890625,8082.6733
2025-07-31,7875.8798828125,8067.8574
2025-08-01,7899.673828125,8033.0996
2025-08-04,7875.8798828125,7999.058
2025-08-05,8018.6455078125,7966.9473
2025-08-06,7899.673828125,7967.543
2025-08-07,7899.673828125,7962.336
2025-08-08,7899.673828125,7955.504
2025-08-11,8137.6162109375,7949.187
2025-08-12,8423.1474609375,7987.767
2025-08-13,8494.529296875,8093.6226
2025-08-14,8351.763671875,8226.567
2025-08-15,8280.380859375,8323.119
2025-08-19,8090.02734375,8371.839
2025-08-20,8113.82177734375,8353.442
2025-08-21,8137.6162109375,8309.27
2025-08-22,8042.43994140625,8263.769
2025-08-25,8066.2333984375,8207.726
2025-08-26,7852.08544921875,8160.552
2025-08-27,7899.673828125,8086.9404
2025-08-28,7923.46826171875,8022.305
2025-08-29,7685.5263671875,7977.9443
2025-09-01,7614.1435546875,7908.3613
2025-09-02,7614.1435546875,7826.318
2025-09-03,7590.349609375,7753.051
2025-09-04,7614.1435546875,7693.1104
2025-09-08,7328.61328125,7655.161
2025-09-09,7162.05419921875,7583.2305
2025-09-10,7423.7900390625,7477.6997
2025-09-11,7471.37890625,7422.3364
2025-09-12,7542.76123046875,7410.318
2025-09-15,7637.93798828125,7435.2734
2025-09-16,7542.76123046875,7491.869
2025-09-17,7471.37890625,7536.938
2025-09-18,7328.61328125,7555.6704
2025-09-19,7423.7900390625,7532.141
2025-09-22,7352.40771484375,7509.215
2025-09-23,7495.1728515625,7477.1533
2025-09-24,7399.99560546875,7472.0786
2025-09-25,7328.61328125,7463.467
2025-09-26,7257.23095703125,7441.6094
2025-09-29,7399.99560546875,7404.0557
2025-09-30,7257.23095703125,7391.4204
2025-10-01,7138.259765625,7367.0645
2025-10-02,7138.259765625,7319.72
2025-10-03,7162.05419921875,7269.538
2025-10-06,7138.259765625,7231.1777
2025-10-07,7209.64208984375,7201.16
2025-10-08,7019.28857421875,7193.7847
2025-10-09,7185.8486328125,7164.3135
2025-10-10,7043.0830078125,7159.9307
2025-10-13,6971.70068359375,7142.669
2025-10-14,6900.31787109375,7109.3755
2025-10-15,6900.31787109375,7061.1997
2025-10-16,6947.90625,7014.2827
2025-10-17,7138.259765625,6984.992
2025-10-20,7495.1728515625,7004.403
2025-10-21,8066.2333984375,7109.782
2025-10-22,7804.4970703125,7343.6797
2025-10-23,7923.46826171875,7550.567
2025-10-24,7875.8798828125,7729.7866
2025-10-27,7947.2626953125,7854.385
2025-10-28,7875.8798828125,7942.4404
2025-10-29,8185.20458984375,7982.694
2025-10-30,8113.82177734375,8047.8125
2025-10-31,8113.82177734375,8098.98
2025-11-03,8232.79296875,8133.51
2025-11-04,8232.79296875,8174.789
2025-11-05,8280.380859375,8211.338
2025-11-06,8137.6162109375,8247.409
2025-11-07,8256.5869140625,8250.462
2025-11-10,8161.41064453125,8258.482
2025-11-11,7994.85107421875,8249.821
2025-11-12,8090.02734375,8204.233
2025-11-13,7971.05712890625,8166.0938
