ds,y
2019-09-24,4907.68603515625
2019-09-25,4899.43115234375
2019-09-26,5002.6201171875
2019-09-27,5010.87646484375
2019-09-30,5010.87646484375
2019-10-01,4986.1103515625
2019-10-02,4994.365234375
2019-10-03,4986.1103515625
2019-10-04,4990.23828125
2019-10-07,5010.87646484375
2019-10-08,5035.642578125
2019-10-09,5010.87646484375
2019-10-10,5043.896484375
2019-10-11,5056.279296875
2019-10-14,5118.19189453125
2019-10-15,5097.5546875
2019-10-16,5130.57568359375
2019-10-17,5048.0234375
2019-10-18,5085.171875
2019-10-21,5134.703125
2019-10-22,5200.74365234375
2019-10-23,5180.1064453125
2019-10-24,5200.74365234375
2019-10-25,5118.19189453125
2019-10-28,5122.3203125
2019-10-29,5134.703125
2019-10-30,5171.8515625
2019-10-31,5192.48876953125
2019-11-01,5221.3818359375
2019-11-04,5180.1064453125
2019-11-05,5250.27490234375
2019-11-06,5196.61669921875
2019-11-07,5188.361328125
2019-11-08,5184.23388671875
2019-11-11,5196.61669921875
2019-11-12,5171.8515625
2019-11-13,5184.23388671875
2019-11-14,5175.97900390625
2019-11-15,5180.1064453125
2019-11-18,5184.23388671875
2019-11-19,5213.12744140625
2019-11-20,5242.0205078125
2019-11-21,5200.74365234375
2019-11-22,5204.8720703125
2019-11-25,5180.1064453125
2019-11-26,5188.361328125
2019-11-27,5200.74365234375
2019-11-28,5159.46826171875
2019-11-29,5184.23388671875
2019-12-02,5303.93359375
2019-12-03,5262.65771484375
2019-12-04,5254.40283203125
2019-12-05,5233.7646484375
2019-12-06,5295.875
2019-12-09,5295.875
2019-12-10,5271.0302734375
2019-12-11,5283.45263671875
2019-12-12,5250.328125
2019-12-13,5266.8896484375
2019-12-16,5266.8896484375
2019-12-17,5382.828125
2019-12-18,5593.99951171875
2019-12-19,5465.640625
2019-12-20,5515.328125
2019-12-23,5515.328125
2019-12-26,5531.890625
2019-12-27,5544.3125
2019-12-30,5536.03076171875
2020-01-02,5540.17236328125
2020-01-03,5631.26611328125
2020-01-06,5577.4375
2020-01-07,5581.57763671875
2020-01-08,5531.890625
2020-01-09,5581.57763671875
2020-01-10,5569.15625
2020-01-13,5585.71923828125
2020-01-14,5689.234375
2020-01-15,5660.25
2020-01-16,5672.67236328125
2020-01-17,5693.3759765625
2020-01-20,5660.25
2020-01-21,5656.10986328125
2020-01-22,5664.3916015625
2020-01-23,5664.3916015625
2020-01-24,5639.54736328125
2020-01-27,5664.3916015625
2020-01-28,5622.98583984375
2020-01-29,5618.8447265625
2020-01-30,5581.57763671875
2020-01-31,5366.265625
2020-02-03,5333.13916015625
2020-02-04,5465.640625
2020-02-05,5573.296875
2020-02-06,5581.57763671875
2020-02-07,5598.1416015625
2020-02-10,5618.8447265625
2020-02-11,5614.703125
2020-02-12,5631.26611328125
2020-02-13,5622.98583984375
2020-02-14,5531.890625
2020-02-17,5565.015625
2020-02-18,5544.3125
2020-02-19,5544.3125
2020-02-20,5461.50048828125
2020-02-21,5478.06201171875
2020-02-24,5403.53173828125
2020-02-25,5407.67041015625
2020-02-26,5316.57763671875
2020-02-27,5208.9208984375
2020-02-28,5208.9208984375
2020-03-02,5035.01416015625
2020-03-03,5233.7646484375
2020-03-04,5333.13916015625
2020-03-05,5329.0
2020-03-06,5134.39013671875
2020-03-09,4790.716796875
2020-03-10,4906.65478515625
2020-03-11,4844.544921875
2020-03-12,4604.3876953125
2020-03-13,4604.3876953125
2020-03-16,4604.3876953125
2020-03-17,4240.01171875
2020-03-18,4140.63720703125
2020-03-19,3850.791748046875
2020-03-20,3921.183349609375
2020-03-23,3668.603515625
2020-03-24,3726.572998046875
2020-03-26,4372.51220703125
2020-03-27,4562.9814453125
2020-03-30,4550.56005859375
2020-03-31,4575.4033203125
2020-04-01,4538.13720703125
2020-04-02,4480.16845703125
2020-04-03,4550.56005859375
2020-04-06,4749.3115234375
2020-04-07,4683.06005859375
2020-04-08,4666.4970703125
2020-04-09,4633.37255859375
2020-04-13,4554.7001953125
2020-04-14,4567.12255859375
2020-04-15,4542.279296875
2020-04-16,4339.38671875
2020-04-17,4492.59033203125
2020-04-20,4434.6220703125
2020-04-21,4347.0078125
2020-04-22,4334.3701171875
2020-04-23,4313.31005859375
2020-04-24,4144.8212890625
2020-04-27,4178.51953125
2020-04-28,4069.001708984375
2020-04-29,4085.8505859375
2020-04-30,4355.431640625
2020-05-04,4397.55517578125
2020-05-05,4452.3134765625
2020-05-06,4511.2841796875
2020-05-08,4418.615234375
2020-05-11,4460.73828125
2020-05-12,4397.55517578125
2020-05-13,4304.8857421875
2020-05-14,4144.8212890625
2020-05-15,4031.091064453125
2020-05-18,4014.24365234375
2020-05-19,3942.635498046875
2020-05-20,4014.24365234375
2020-05-26,4186.943359375
2020-05-27,4182.732421875
2020-05-28,4460.73828125
2020-05-29,4372.28125
2020-06-02,4515.49658203125
2020-06-03,4869.322265625
2020-06-04,4877.748046875
2020-06-05,4822.98779296875
2020-06-08,4970.41650390625
2020-06-09,4890.3837890625
2020-06-10,4886.1708984375
2020-06-11,4785.0791015625
2020-06-12,4776.6533203125
2020-06-15,4633.43798828125
2020-06-16,4852.47412109375
2020-06-17,4818.7763671875
2020-06-18,4705.046875
2020-06-19,4696.6220703125
2020-06-22,4667.13671875
2020-06-23,4734.53173828125
2020-06-24,4806.13916015625
2020-06-25,4822.98779296875
2020-06-26,4755.5927734375
2020-06-29,4780.86572265625
2020-06-30,4797.7158203125
2020-07-01,4886.1708984375
2020-07-02,4945.1435546875
2020-07-03,4945.1435546875
2020-07-06,4999.90185546875
2020-07-07,5046.236328125
2020-07-08,5223.1494140625
2020-07-09,5138.90478515625
2020-07-10,5223.1494140625
2020-07-13,5202.08837890625
2020-07-14,5223.1494140625
2020-07-15,5181.02734375
2020-07-16,5206.30029296875
2020-07-17,5155.75341796875
2020-07-20,5172.6025390625
2020-07-21,5223.1494140625
2020-07-22,5206.30029296875
2020-07-23,5223.1494140625
2020-07-24,5138.90478515625
2020-07-27,5138.90478515625
2020-07-28,5210.51171875
2020-07-29,5168.39111328125
2020-07-30,5256.84619140625
2020-08-03,5164.177734375
2020-08-04,5231.57373046875
2020-08-05,5227.361328125
2020-08-06,5273.69580078125
2020-08-07,5206.30029296875
2020-08-10,5155.75341796875
2020-08-11,5202.08837890625
2020-08-12,5273.69580078125
2020-08-13,5307.39404296875
2020-08-14,5395.85009765625
2020-08-18,5357.93994140625
2020-08-19,5332.66552734375
2020-08-24,5320.0302734375
2020-08-25,5362.15185546875
2020-08-26,5341.09130859375
2020-08-27,5560.12646484375
2020-08-28,5471.66943359375
2020-08-31,5286.3330078125
2020-09-01,5492.72998046875
2020-09-02,5421.123046875
2020-09-03,5475.88232421875
2020-09-04,5374.7890625
2020-09-07,5294.7578125
2020-09-08,5336.87841796875
2020-09-09,5261.05908203125
2020-09-10,4894.59521484375
2020-09-11,4974.6279296875
2020-09-14,5096.78271484375
2020-09-15,4936.71826171875
2020-09-16,4844.0498046875
2020-09-17,4848.26123046875
2020-09-18,4742.95556640625
2020-09-21,4721.89501953125
2020-09-22,4591.31689453125
2020-09-23,4637.650390625
2020-09-24,4587.10400390625
2020-09-25,4726.10693359375
2020-09-28,4646.07568359375
2020-09-29,4637.650390625
2020-09-30,4566.04248046875
2020-10-01,4692.41015625
2020-10-02,4637.650390625
2020-10-05,4650.287109375
2020-10-06,4801.92724609375
2020-10-07,4848.26123046875
2020-10-08,4869.322265625
2020-10-09,4865.1103515625
2020-10-12,4932.505859375
2020-10-13,4932.505859375
2020-10-14,4970.41650390625
2020-10-15,4873.53515625
2020-10-16,4852.47412109375
2020-10-19,4970.41650390625
2020-10-20,4890.3837890625
2020-10-21,4869.322265625
2020-10-22,4886.1708984375
2020-10-23,4860.8984375
2020-10-26,4898.80908203125
2020-10-27,4877.748046875
2020-11-02,4903.02001953125
2020-11-03,4961.99169921875
2020-11-04,4903.02001953125
2020-11-05,5181.02734375
2020-11-06,5307.39404296875
2020-11-09,5294.7578125
2020-11-10,5459.033203125
2020-11-11,5509.580078125
2020-11-12,5408.48583984375
2020-11-13,5383.2138671875
2020-11-16,5459.033203125
2020-11-17,5518.00390625
2020-11-18,5534.85302734375
2020-11-19,5572.7626953125
2020-11-20,5560.12646484375
2020-11-23,5560.12646484375
2020-11-24,5530.64111328125
2020-11-25,5400.0625
2020-11-26,5459.033203125
2020-11-27,5379.00048828125
2020-11-30,5227.361328125
2020-12-01,5387.42578125
2020-12-02,5433.76025390625
2020-12-03,5442.18408203125
2020-12-04,5383.2138671875
2020-12-07,5492.72998046875
2020-12-08,5467.4580078125
2020-12-10,5555.84423828125
2020-12-11,5691.04345703125
2020-12-14,5762.8681640625
2020-12-15,5737.51806640625
2020-12-16,5872.71728515625
2020-12-17,5860.04248046875
2020-12-18,5745.96826171875
2020-12-21,5771.31787109375
2020-12-22,5674.1435546875
2020-12-23,5682.59326171875
2020-12-28,5729.068359375
2020-12-29,5716.3935546875
2020-12-30,5720.6171875
2021-01-04,5775.5439453125
2021-01-05,5991.0166015625
2021-01-06,5868.4921875
2021-01-07,5885.39208984375
2021-01-08,5957.216796875
2021-01-11,6206.49072265625
2021-01-12,6050.16650390625
2021-01-13,6016.3662109375
2021-01-14,5931.8671875
2021-01-15,5876.9423828125
2021-01-18,6016.3662109375
2021-01-19,5995.24169921875
2021-01-20,5995.24169921875
2021-01-21,5978.34130859375
2021-01-22,5982.56689453125
2021-01-25,5944.5419921875
2021-01-26,5762.8681640625
2021-01-27,5737.51806640625
2021-01-28,5830.4677734375
2021-01-29,5712.16845703125
2021-02-01,5762.8681640625
2021-02-02,5745.96826171875
2021-02-03,5767.09228515625
2021-02-04,5792.4423828125
2021-02-05,5843.1416015625
2021-02-08,5847.3681640625
2021-02-09,5898.068359375
2021-02-10,5847.3681640625
2021-02-11,5813.56787109375
2021-02-15,5745.96826171875
2021-02-16,5864.26708984375
2021-02-17,5830.4677734375
2021-02-18,5691.04345703125
2021-02-19,5767.09228515625
2021-02-22,5737.51806640625
2021-02-23,5767.09228515625
2021-02-24,5682.59326171875
2021-02-25,5665.693359375
2021-02-26,5669.9189453125
2021-03-01,5952.9921875
2021-03-02,5927.642578125
2021-03-03,5914.966796875
2021-03-04,5678.369140625
2021-03-05,5745.96826171875
