Tanggal,Harga_Aktual,Prediksi_Prophet,Batas_Bawah_Pasti,Batas_Atas_Pasti
2025-01-22,8864.2275390625,10155.650694232649,9846.467473981224,10468.857288772057
2025-01-23,8864.2275390625,10164.71130381284,9853.123002115984,10475.652696939484
2025-01-24,8633.3876953125,10166.7637898671,9840.362997583423,10524.791615318667
2025-01-30,8448.716796875,10198.524351292745,9868.177791189572,10542.195249442922
2025-01-31,8725.724609375,10203.60234241739,9871.650752095975,10532.86072104684
2025-02-03,8633.3876953125,10220.073884288311,9889.457682640676,10567.05844110525
2025-02-04,8471.7998046875,10229.843871400768,9920.392411441324,10559.537428979273
2025-02-05,8425.6328125,10237.794172716627,9904.505313205493,10564.502816078322
2025-02-06,8264.044921875,10251.615253290294,9919.216446757124,10607.283431650983
2025-02-07,8633.3876953125,10258.07783412079,9931.480328379832,10597.449057695463
2025-02-10,8448.716796875,10274.644383092114,9968.216091692093,10621.997389337264
2025-02-11,8379.4658203125,10282.911255795152,9915.93040363532,10614.405136122597
2025-02-12,8448.716796875,10288.543238707965,9950.804268587832,10640.344714926872
2025-02-13,8310.2138671875,10299.230235858957,9941.699175886979,10650.333937342117
2025-02-14,8287.12890625,10301.761800238728,9951.220747056595,10661.867855959603
2025-02-17,8610.3037109375,10302.225567348842,9950.764464347898,10654.239541467487
2025-02-18,8587.2197265625,10303.933154151093,9944.580744618399,10623.978585851391
2025-02-19,8264.044921875,10302.570693519787,9969.639618005422,10648.845825158816
2025-02-20,8310.2138671875,10305.94300071588,9983.44926135844,10663.44883679822
2025-02-21,8310.2138671875,10300.963286746477,9949.019659191674,10677.751777769981
2025-02-24,8240.9619140625,10279.019694156717,9907.414471969785,10649.464835566181
2025-02-25,8148.6259765625,10273.737177795436,9921.960337511928,10637.626851152476
2025-02-26,8102.45751953125,10265.832473883798,9926.412744740694,10630.58660718916
2025-02-27,7871.6181640625,10263.223132340274,9920.652844217011,10617.77270541601
2025-02-28,7779.283203125,10252.923131372167,9911.111988043278,10600.880241083114
2025-03-03,8125.5419921875,10219.769033725104,9865.578530880719,10569.678858484978
2025-03-04,8171.71044921875,10212.507091480544,9856.89753571658,10550.416167863661
2025-03-05,8310.2138671875,10203.541561761187,9848.780799297429,10576.95034375648
2025-03-06,8287.12890625,10200.784821870657,9829.408771160093,10567.57432277549
2025-03-07,8240.9619140625,10191.226625933044,9814.024758951473,10558.90667364605
2025-03-10,8240.9619140625,10165.127294437822,9802.441336682241,10548.779698124272
2025-03-11,8240.9619140625,10161.581644200547,9809.01101522185,10510.656180610513
2025-03-12,8425.6328125,10156.861427413169,9780.005794251543,10554.543775994169
2025-03-13,8287.12890625,10158.773829615973,9787.726193235732,10564.87561068433
2025-03-14,8079.3740234375,10154.198513782503,9767.052623586153,10518.865179033835
2025-03-17,7940.8701171875,10143.817025620698,9793.533590397796,10523.99506290987
2025-03-18,7663.86279296875,10145.411811834532,9777.566607756862,10540.8189358197
2025-03-19,7686.94677734375,10145.622166403407,9815.962680077351,10516.930670251893
2025-03-20,7733.115234375,10152.174193659788,9765.722299134713,10533.09569140689
2025-03-21,7518.966796875,10151.879241357741,9772.032998592891,10551.176462749201
2025-03-24,7566.5556640625,10151.717173351031,9765.78136628653,10546.563351401546
2025-03-25,7661.732421875,10155.765834958753,9765.154371415989,10550.531053233519
2025-03-26,8113.82177734375,10157.95272233699,9773.59714414608,10568.23209446665
2025-03-27,8090.02734375,10166.025004735618,9757.049649022867,10591.32692012865
2025-04-08,7399.99560546875,10187.335486314489,9767.128352516555,10586.356619973867
2025-04-09,7542.76123046875,10189.759016749025,9807.318927302918,10602.210762947383
2025-04-10,7828.29150390625,10198.203948088289,9785.261849229635,10589.186977208396
2025-04-11,7875.8798828125,10199.570136997887,9806.33137135605,10611.665347455533
2025-04-14,7994.85107421875,10203.75513531392,9788.829322903164,10613.490673515562
2025-04-15,8161.41064453125,10209.226374060803,9785.149440373252,10603.260290406464
2025-04-16,8066.2333984375,10212.87411377205,9792.206989942884,10648.89028824628
2025-04-17,8090.02734375,10222.44837519275,9801.015765380514,10638.070779075344
2025-04-21,7899.673828125,10230.149293725692,9845.874546613099,10696.222712181005
2025-04-22,8090.02734375,10235.23425301457,9780.51889283268,10664.769417659652
2025-04-23,8304.17578125,10238.017314536559,9798.78330695019,10673.911537070278
2025-04-24,8066.2333984375,10246.212700360617,9774.35409388542,10690.858750582143
2025-04-25,8185.20458984375,10246.627089994932,9852.079785900827,10662.56839667157
2025-04-28,8351.763671875,10243.055924122691,9824.43913482636,10691.806223719619
2025-04-29,8304.17578125,10244.184581999454,9805.197822454411,10730.080278976357
2025-04-30,8399.3525390625,10242.61142476113,9820.898611133065,10699.226332821949
2025-05-02,8542.1171875,10241.630914366257,9805.522199204375,10694.065947601037
2025-05-05,8542.1171875,10223.019980376172,9790.803755175297,10680.429958290959
2025-05-06,8589.7060546875,10219.433619839694,9778.79516001419,10640.32062898794
2025-05-07,8637.294921875,10213.50381900497,9766.488641133765,10671.388797655547
2025-05-08,8542.1171875,10213.145775202738,9760.34223447069,10688.063817652228
2025-05-09,8565.912109375,10205.375750180876,9747.088716510505,10713.711689670918
2025-05-14,8827.6484375,10173.226535277072,9740.17670135064,10633.697954699082
2025-05-15,8827.6484375,10174.966765830792,9723.431040392192,10637.300773501216
2025-05-16,8851.44140625,10170.31129611396,9735.188104684827,10621.29566552293
2025-05-19,9041.794921875,10161.58522206303,9713.565681775848,10653.29436048257
2025-05-20,9018.001953125,10164.77841488701,9690.523746114079,10646.263263166915
2025-05-21,9232.1494140625,10167.286581097873,9661.150611261686,10652.791844249607
2025-05-22,9184.5615234375,10176.9148629504,9690.547600809556,10660.58420657263
2025-05-23,9208.35546875,10180.531482486362,9724.729765310356,10669.304014118065
2025-05-26,9160.7666015625,10197.307444619273,9709.606888369688,10700.4527520898
2025-05-27,8994.2080078125,10208.666394374599,9725.60532723162,10686.283998398314
2025-05-28,8946.619140625,10218.893205367222,9737.204723930787,10712.706351085766
2025-06-02,8661.087890625,10275.77061037622,9755.007851829754,10770.217775617608
2025-06-03,8613.5009765625,10289.392381885858,9783.085215410236,10807.286283358137
2025-06-04,8542.1171875,10300.697250022089,9783.545385915671,10806.509871381711
2025-06-05,8494.529296875,10317.320647231792,9821.19417652251,10861.377767912429
2025-06-10,8661.087890625,10354.020471099917,9823.908628515746,10908.670375495527
2025-06-11,8613.5009765625,10359.267836467521,9835.969997200225,10915.464501945538
2025-06-12,8684.8828125,10369.265980519225,9856.10557464011,10925.553850469956
2025-06-13,8589.7060546875,10370.918931253042,9838.779592070807,10910.411214415684
2025-06-16,8494.529296875,10368.926185650604,9868.362222110283,10938.29766746325
2025-06-17,8637.294921875,10370.347309790006,9860.851713736303,10883.19904213488
2025-06-18,8470.734375,10369.20453481654,9878.46263299146,10932.565269009066
2025-06-19,8351.763671875,10373.440934125862,9874.722033942644,10948.028847269688
2025-06-20,8280.380859375,10370.099041753536,9817.628631314401,10964.30171911926
2025-06-23,8208.9990234375,10358.801690304983,9794.536477464977,10904.314083648076
2025-06-24,8351.763671875,10359.255142780588,9813.647514690194,10929.38300802426
2025-06-25,8185.20458984375,10358.26690558735,9810.39325452032,10925.668535080516
2025-06-26,8232.79296875,10363.772754840655,9807.310878253616,10921.993121520258
2025-06-30,8256.5869140625,10364.308553806515,9788.42906115355,10998.794482935864
2025-07-01,8280.380859375,10370.614834125963,9807.410804353322,10969.059268857784
2025-07-02,8256.5869140625,10376.050482105,9809.686899097025,10958.739981815057
2025-07-03,8185.20458984375,10388.400925934984,9846.774356594207,10997.631274152574
2025-07-04,8232.79296875,10394.516686709649,9848.207753847986,11034.0341294484
2025-07-07,8208.9990234375,10417.33214849577,9816.888543439181,11036.39947204202
2025-07-08,8090.02734375,10430.205504783173,9858.251238068247,11032.048083352509
2025-07-09,8090.02734375,10441.707832814247,9870.36395571101,11093.62686951533
2025-07-10,8185.20458984375,10459.504165330272,9851.178752961772,11081.04894635886
2025-07-11,8208.9990234375,10470.34290017581,9880.632590780122,11153.1226878269
2025-07-14,8113.82177734375,10502.287402047748,9908.03208808856,11130.031630086134
2025-07-15,8137.6162109375,10516.405359048418,9919.431027478902,11154.89354715222
2025-07-16,8113.82177734375,10528.253468106734,9915.721461612271,11155.06648010382
2025-07-17,8113.82177734375,10545.532044206784,9927.164111638864,11226.177209408193
2025-07-18,8018.6455078125,10555.046503323185,9901.495626144417,11182.174345746205
2025-07-21,8042.43994140625,10579.031329404164,9970.454069403504,11224.315871245879
2025-07-22,7994.85107421875,10589.526266487477,9950.570531886402,11264.830371457154
2025-07-23,8018.6455078125,10597.472400713958,9993.738503278775,11293.898122155859
2025-07-24,8090.02734375,10610.702040357406,10010.143570217817,11288.810346996866
2025-07-25,8042.43994140625,10616.153057300236,9984.424287173457,11262.570077769382
2025-07-28,8090.02734375,10629.11586981814,9998.942851272135,11347.26482329346
2025-07-29,7994.85107421875,10636.697968693084,9946.713828399488,11326.779553491982
2025-07-30,7971.05712890625,10642.26392281765,10013.559421090336,11368.40205678211
2025-07-31,7875.8798828125,10653.71186835211,10026.102421283278,11369.239631593007
2025-08-01,7899.673828125,10658.026024080666,10000.943705971617,11402.905262169435
2025-08-04,7875.8798828125,10671.599511072762,10001.351746789394,11340.519157854444
2025-08-05,8018.6455078125,10680.67163964992,9950.064010861877,11417.41298610243
2025-08-06,7899.673828125,10688.293711475024,9964.346218681954,11416.694603363152
2025-08-07,7899.673828125,10702.290288754373,9989.902505287568,11479.355275724298
2025-08-08,7899.673828125,10709.556615997464,10078.006018621181,11474.36515687524
2025-08-11,8137.6162109375,10733.342758809991,10024.119633081931,11510.395495542154
2025-08-12,8423.1474609375,10745.878811238783,9981.703811700123,11527.936175427169
2025-08-13,8494.529296875,10756.79119460984,10036.54991445165,11558.025059397813
2025-08-14,8351.763671875,10773.784986790493,10113.602074574103,11505.281083630587
2025-08-15,8280.380859375,10783.642214066509,10101.23279742605,11580.777930609971
2025-08-19,8090.02734375,10824.380407497352,10077.137545690466,11605.188585793047
2025-08-20,8113.82177734375,10834.567011866216,10070.944287457893,11598.464842237066
2025-08-21,8137.6162109375,10850.027115060862,10125.624218119661,11657.66510369602
2025-08-22,8042.43994140625,10857.53828144983,10126.283725428348,11658.870205113186
2025-08-25,8066.2333984375,10874.016890362902,10124.403548215036,11725.188168557972
2025-08-26,7852.08544921875,10881.354169298904,10141.688372209335,11686.030320525791
2025-08-27,7899.673828125,10885.727829968971,10150.012573496777,11736.646389588668
2025-08-28,7923.46826171875,10894.916321935118,10140.83781714648,11717.14290129619
2025-08-29,7685.5263671875,10895.805074826847,10117.93587505772,11742.001796209055
2025-09-01,7614.1435546875,10891.489435486867,10113.504870909464,11764.643359787608
2025-09-02,7614.1435546875,10891.991859050857,10115.74025652243,11731.715533962777
2025-09-03,7590.349609375,10889.778124505732,10065.196752171012,11761.697837192454
2025-09-04,7614.1435546875,10892.73822524793,10079.163204459552,11724.914304321028
2025-09-08,7328.61328125,10869.865581594167,10059.313968217231,11730.958707595257
2025-09-09,7162.05419921875,10867.228916184273,10038.710637571645,11734.668917990934
2025-09-10,7423.7900390625,10862.654373886315,10023.791400528387,11758.028249657496
2025-09-11,7471.37890625,10864.048303212116,10050.601654773312,11740.579814578405
2025-09-12,7542.76123046875,10858.398912528555,10029.616169693501,11790.072268801974
2025-09-15,7637.93798828125,10842.628878553618,9998.686132386387,11730.491728084067
2025-09-16,7542.76123046875,10842.101620316846,9995.22126390677,11756.97776417929
