Tanggal,Harga_Aktual,Prediksi_HoltWinters
2025-04-25,8185.20458984375,9595.300612607902
2025-04-28,8351.763671875,9585.317649967292
2025-04-29,8304.17578125,9565.840225549016
2025-04-30,8399.3525390625,9572.20512694236
2025-05-02,8542.1171875,9577.73755876836
2025-05-05,8542.1171875,9556.179471595819
2025-05-06,8589.7060546875,9578.998253313033
2025-05-07,8637.294921875,9581.760460255357
2025-05-08,8542.1171875,9578.023573469585
2025-05-09,8565.912109375,9585.007064415511
2025-05-14,8827.6484375,9594.870837247638
2025-05-15,8827.6484375,9606.470693764806
2025-05-16,8851.44140625,9600.915977525972
2025-05-19,9041.794921875,9603.30066221916
2025-05-20,9018.001953125,9609.043506245771
2025-05-21,9232.1494140625,9607.600090806487
2025-05-22,9184.5615234375,9619.692304938133
2025-05-23,9208.35546875,9645.838632713272
2025-05-26,9160.7666015625,9649.423367698111
2025-05-27,8994.2080078125,9668.4069882035
2025-05-28,8946.619140625,9680.359595311867
2025-06-02,8661.087890625,9661.224794665583
2025-06-03,8613.5009765625,9651.241832024973
2025-06-04,8542.1171875,9631.764407606697
2025-06-05,8494.529296875,9638.129309000042
2025-06-10,8661.087890625,9643.66174082604
2025-06-11,8613.5009765625,9622.1036536535
2025-06-12,8684.8828125,9644.922435370714
2025-06-13,8589.7060546875,9647.684642313037
2025-06-16,8494.529296875,9643.947755527266
2025-06-17,8637.294921875,9650.931246473192
2025-06-18,8470.734375,9660.795019305318
2025-06-19,8351.763671875,9672.394875822487
2025-06-20,8280.380859375,9666.840159583653
2025-06-23,8208.9990234375,9669.224844276841
2025-06-24,8351.763671875,9674.967688303452
2025-06-25,8185.20458984375,9673.524272864168
2025-06-26,8232.79296875,9685.616486995814
2025-06-30,8256.5869140625,9711.762814770953
2025-07-01,8280.380859375,9715.347549755792
2025-07-02,8256.5869140625,9734.33117026118
2025-07-03,8185.20458984375,9746.283777369548
2025-07-04,8232.79296875,9727.148976723263
2025-07-07,8208.9990234375,9717.166014082653
2025-07-08,8090.02734375,9697.688589664378
2025-07-09,8090.02734375,9704.053491057723
2025-07-10,8185.20458984375,9709.585922883722
2025-07-11,8208.9990234375,9688.02783571118
2025-07-14,8113.82177734375,9710.846617428395
2025-07-15,8137.6162109375,9713.60882437072
2025-07-16,8113.82177734375,9709.871937584947
2025-07-17,8113.82177734375,9716.855428530873
